0.00628 5803.77270+0.00000j 0.00000+0.00000j 463.80833+0.00000j 0.00000+0.00000j 34959.34404+0.00000j 0.00000+0.00000j
0.03770 5704.25297+0.00000j 0.00000+0.00000j 543.61094+0.00000j 0.00000+0.00000j 64671.23513+0.00000j 0.00000+0.00000j
0.06912 5525.78132+0.00000j 0.00000+0.00000j 425.72674+0.00000j 0.00000+0.00000j 91740.26136+0.00000j 0.00000+0.00000j
0.10053 5269.01963+0.00000j 0.00000+0.00000j 289.23188+0.00000j 0.00000+0.00000j 114350.04637+0.00000j 0.00000+0.00000j
0.13195 4942.12900+0.00000j 0.00000+0.00000j 191.58198+0.00000j 0.00000+0.00000j 131700.64678+0.00000j 0.00000+0.00000j
0.16336 4554.78246+0.00000j 0.00000+0.00000j 132.46624+0.00000j 0.00000+0.00000j 143677.10577+0.00000j 0.00000+0.00000j
0.19478 4117.11049+0.00000j 0.00000+0.00000j 103.22436+0.00000j 0.00000+0.00000j 150914.77283+0.00000j 0.00000+0.00000j
0.22619 3639.98461+0.00000j 0.00000+0.00000j 93.61885+0.00000j 0.00000+0.00000j 154297.82401+0.00000j 0.00000+0.00000j
0.25761 3136.72519+0.00000j 0.00000+0.00000j 93.86631+0.00000j 0.00000+0.00000j 154783.40557+0.00000j 0.00000+0.00000j
0.28903 2625.92209+0.00000j 0.00000+0.00000j 97.41460+0.00000j 0.00000+0.00000j 153204.39167+0.00000j 0.00000+0.00000j
0.32044 2136.21069+0.00000j 0.00000+0.00000j 100.64820+0.00000j 0.00000+0.00000j 150222.53535+0.00000j 0.00000+0.00000j
0.35186 1715.79897+0.00000j 0.00000+0.00000j 102.16179+0.00000j 0.00000+0.00000j 146320.86073+0.00000j 0.00000+0.00000j
0.38327 1445.44187+0.00000j 0.00000+0.00000j 101.71009+0.00000j 0.00000+0.00000j 141825.22229+0.00000j 0.00000+0.00000j
0.41469 1413.38489+0.00000j 0.00000+0.00000j 99.56864+0.00000j 0.00000+0.00000j 136951.62174+0.00000j 0.00000+0.00000j
