0.00628 3465.79955+0.00000j 0.00000+0.00000j 178.32992+0.00000j 0.00000+0.00000j 12324.61133+0.00000j 0.00000+0.00000j
0.03770 3454.97482+0.00000j 0.00000+0.00000j 158.18279+0.00000j 0.00000+0.00000j 24346.78040+0.00000j 0.00000+0.00000j
0.06912 3456.57214+0.00000j 0.00000+0.00000j 106.94346+0.00000j 0.00000+0.00000j 37745.97881+0.00000j 0.00000+0.00000j
0.10053 3482.59763+0.00000j 0.00000+0.00000j 223.90838+0.00000j 0.00000+0.00000j 50923.40177+0.00000j 0.00000+0.00000j
0.13195 3533.54164+0.00000j 0.00000+0.00000j 344.35493+0.00000j 0.00000+0.00000j 62551.64294+0.00000j 0.00000+0.00000j
0.16336 3599.18111+0.00000j 0.00000+0.00000j 424.02989+0.00000j 0.00000+0.00000j 71697.60581+0.00000j 0.00000+0.00000j
0.19478 3668.10924+0.00000j 0.00000+0.00000j 460.72050+0.00000j 0.00000+0.00000j 78073.59896+0.00000j 0.00000+0.00000j
0.22619 3731.76109+0.00000j 0.00000+0.00000j 460.12345+0.00000j 0.00000+0.00000j 81772.06197+0.00000j 0.00000+0.00000j
0.25761 3786.24374+0.00000j 0.00000+0.00000j 431.23728+0.00000j 0.00000+0.00000j 83139.77708+0.00000j 0.00000+0.00000j
0.28903 3831.36217+0.00000j 0.00000+0.00000j 383.68920+0.00000j 0.00000+0.00000j 82644.81729+0.00000j 0.00000+0.00000j
0.32044 3869.03730+0.00000j 0.00000+0.00000j 326.20662+0.00000j 0.00000+0.00000j 80771.53034+0.00000j 0.00000+0.00000j
0.35186 3902.02048+0.00000j 0.00000+0.00000j 266.01060+0.00000j 0.00000+0.00000j 77971.86636+0.00000j 0.00000+0.00000j
0.38327 3932.81026+0.00000j 0.00000+0.00000j 208.40049+0.00000j 0.00000+0.00000j 74623.07867+0.00000j 0.00000+0.00000j
0.41469 3963.24587+0.00000j 0.00000+0.00000j 156.99054+0.00000j 0.00000+0.00000j 71023.61287+0.00000j 0.00000+0.00000j
0.44611 3994.17061+0.00000j 0.00000+0.00000j 113.77596+0.00000j 0.00000+0.00000j 67384.46377+0.00000j 0.00000+0.00000j
0.47752 4025.50640+0.00000j 0.00000+0.00000j 79.63861+0.00000j 0.00000+0.00000j 63843.85515+0.00000j 0.00000+0.00000j
0.50894 4056.39671+0.00000j 0.00000+0.00000j 54.67028+0.00000j 0.00000+0.00000j 60480.97043+0.00000j 0.00000+0.00000j
0.54035 4085.35478+0.00000j 0.00000+0.00000j 38.49574+0.00000j 0.00000+0.00000j 57329.33401+0.00000j 0.00000+0.00000j
0.57177 4110.74425+0.00000j 0.00000+0.00000j 29.94070+0.00000j 0.00000+0.00000j 54395.26023+0.00000j 0.00000+0.00000j
0.60319 4130.74152+0.00000j 0.00000+0.00000j 26.49835+0.00000j 0.00000+0.00000j 51668.25136+0.00000j 0.00000+0.00000j
0.63460 4143.81721+0.00000j 0.00000+0.00000j 25.28084+0.00000j 0.00000+0.00000j 49131.01484+0.00000j 0.00000+0.00000j
0.66602 4148.12979+0.00000j 0.00000+0.00000j 24.51621+0.00000j 0.00000+0.00000j 46762.95319+0.00000j 0.00000+0.00000j
0.69743 4141.74311+0.00000j 0.00000+0.00000j 23.66892+0.00000j 0.00000+0.00000j 44541.58308+0.00000j 0.00000+0.00000j
0.72885 4122.81922+0.00000j 0.00000+0.00000j 22.73502+0.00000j 0.00000+0.00000j 42441.87816+0.00000j 0.00000+0.00000j
0.76027 4089.28124+0.00000j 0.00000+0.00000j 21.83605+0.00000j 0.00000+0.00000j 40435.28103+0.00000j 0.00000+0.00000j
0.79168 4039.04842+0.00000j 0.00000+0.00000j 21.04474+0.00000j 0.00000+0.00000j 38491.31505+0.00000j 0.00000+0.00000j
0.82310 3970.21785+0.00000j 0.00000+0.00000j 20.35109+0.00000j 0.00000+0.00000j 36580.19606+0.00000j 0.00000+0.00000j
0.85451 3880.58038+0.00000j 0.00000+0.00000j 19.69929+0.00000j 0.00000+0.00000j 34674.66300+0.00000j 0.00000+0.00000j
