simID,d,draft,T_pre,alpha,L_pontoon,D_pontoon,weight,surge,pitch,T_max,T_min,acc_nacelle,Fatigue_damage,LCOE,penalty
5cbeb088,19.059629380912966,95.19561409344314,2475238.1724534146,81.13885211734568,11.88959655317473,11.17565309554987,25362021.096359875,3.551478932598787,4.768447845276404,31683998.718833,-12246389.268860076,1.4901057624602219,0.3358462274880533,[38023.96395854],149974074617230.75
b4e6998c,15.279978700238113,47.14440821054688,575261.7786831394,78.7047264786915,57.456343423820684,1.0660488118447125,6384233.429043778,12.31766373620033,-1.9979554516117786,11495230.10491905,-530626.3349279689,0.7061468535807538,3884354.7159740105,[11910.57138031],15369769159373.863
04b3d169,19.47014877060499,95.19561409344314,2475238.1724534146,81.54037048122849,11.88959655317473,10.016118653375369,26320086.635578394,3.070497256638191,4.41770745583236,34217209.88872108,-11021466.41122155,1.557524241265443,1.0514308198623254,[39277.91188164],121472743896618.69
8603653b,19.059629380912966,95.19561409344314,2475238.1724534146,81.13885211734568,11.88959655317473,11.17565309554987,25362021.096359875,3.551478932598787,4.768447845276404,31683998.718833,-12246389.268860076,1.4901057624602219,0.3358462274880533,[38023.96395854],149974074617230.75
b1d706cd,19.059629380912966,95.19561409344314,2475238.1724534146,81.13885211734568,11.88959655317473,11.17565309554987,25362021.096359875,3.551478932598787,4.768447845276404,31683998.718833,-12246389.268860076,1.4901057624602219,0.3358462274880533,[38023.96395854],149974074617230.75
c5378b93,19.059629380912966,95.19561409344314,2475238.1724534146,81.13885211734568,11.88959655317473,11.17565309554987,25362021.096359875,3.551478932598787,4.768447845276404,31683998.718833,-12246389.268860076,1.4901057624602219,0.3358462274880533,[38023.96395854],149974074617230.75
5e0f5b6f,19.059629380912966,95.19561409344314,2475238.1724534146,81.13885211734568,11.88959655317473,11.17565309554987,25362021.096359875,3.551478932598787,4.768447845276404,31683998.718833,-12246389.268860076,1.4901057624602219,0.3358462274880533,[38023.96395854],149974074617230.75
57f4db15,19.172463768520622,93.51318250286748,5677842.772862223,81.13885211734568,24.867409943975254,11.206471106703424,29135150.45819428,0.07347915380559633,0.9720852703309553,29793073.463719904,-17378317.410081692,0.46757054031486733,3.6623275532995083,[42601.79157941],302005950762191.3
4085000c,15.780131010467361,47.14440821054688,575261.7786831394,78.7047264786915,57.456343423820684,1.0660488118447125,6972907.028337518,12.08269107738245,-1.927911253862653,11530052.335434422,-516831.37300502113,0.6780093402520122,2951688.376042949,[12792.30767675],8979574067677.31
747814c9,15.0689448478681,82.77703189199164,2256703.830533889,78.60370476050431,57.209369585265534,11.17565309554987,31778749.534945756,1.6053243623008937,0.18557310075336164,16649968.183219539,-4883095.744664062,0.1872991045843981,17.203800067567137,[43030.37072683],23844633818011.32
dd279b7e,19.059629380912966,95.19561409344314,2475238.1724534146,81.13885211734568,11.88959655317473,11.17565309554987,25362021.096359875,3.551478932598787,4.768447845276404,31683998.718833,-12246389.268860076,1.4901057624602219,0.3358462274880533,[38023.96395854],149974074617230.75
85030a19,19.47014877060499,95.19561409344314,2475238.1724534146,81.54037048122849,11.88959655317473,10.016118653375369,26320086.635578394,3.070497256638191,4.41770745583236,34217209.88872108,-11021466.41122155,1.557524241265443,1.0514308198623254,[39277.91188164],121472743896618.69
5b822741,19.47014877060499,97.81414281827819,843610.4893387032,81.54037048122849,14.98995104128091,8.923765737038728,28428744.129726578,2.9849402715513786,4.66104515783473,29010636.665354803,-2243646.923836274,1.7704272984598992,4.78121151307167,[41394.77877292],5033956006149.121
